,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-57.0,-6.463,50.54
5,conf_012,-41.0,-42.784,1.78
6,conf_013,-43.0,-43.891,0.89
7,conf_014,-43.0,-43.215,0.22
8,conf_017,77.0,-10.502,87.5
10,conf_029,-38.0,-9.952,28.05
11,conf_030,52.0,-10.196,62.2
12,conf_032,55.0,-8.587,63.59
13,conf_037,43.0,-1.493,44.49
15,conf_041,62.0,0.988,61.01
16,conf_053,-7.0,-7.317,0.32
17,conf_054,-7.0,-6.975,0.03
18,conf_060,-5.0,-5.741,0.74
19,conf_061,-34.0,-6.059,27.94
20,conf_062,-10.0,-8.045,1.96
21,conf_063,8.0,8.137,0.14
22,conf_064,8.0,8.494,0.49
23,conf_065,9.0,8.41,0.59
24,conf_066,-8.0,-8.593,0.59
25,conf_067,-80.0,-81.425,1.42
26,conf_068,83.0,83.428,0.43
27,conf_069,-83.0,-82.541,0.46
28,conf_070,-82.0,-82.386,0.39
29,conf_071,-3.0,-2.894,0.11
30,conf_072,-2.0,-2.388,0.39
31,conf_073,-1.0,-1.803,0.8
32,conf_074,-11.0,-11.017,0.02
33,conf_075,86.0,86.535,0.53
34,conf_081,17.0,19.381,2.38
35,conf_082,45.0,45.473,0.47
36,conf_083,-9.0,-8.082,0.92
37,conf_084,21.0,21.002,0.0
38,conf_085,45.0,44.189,0.81
39,conf_086,35.0,19.864,15.14
41,Average Absolute Error,-----,-----,13.451
42,Std dev,-----,-----,23.942
