,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-5.199999999999989,-6.463,1.26
5,conf_012,-41.30000000000001,-42.784,1.48
6,conf_013,-42.6,-43.891,1.29
7,conf_014,-43.30000000000001,-43.215,0.09
8,conf_017,-10.300000000000011,-10.502,0.2
10,conf_029,-13.5,-9.952,3.55
11,conf_030,-14.099999999999994,-10.196,3.9
12,conf_032,-9.900000000000006,-8.587,1.31
13,conf_037,17.9,-1.493,19.39
15,conf_041,-1.4000000000000057,0.988,2.39
16,conf_053,-5.5,-7.317,1.82
17,conf_054,-3.6999999999999886,-6.975,3.28
18,conf_060,-6.599999999999994,-5.741,0.86
19,conf_061,-7.099999999999994,-6.059,1.04
20,conf_062,-9.900000000000006,-8.045,1.86
21,conf_063,7.6,8.137,0.54
22,conf_064,7.7,8.494,0.79
23,conf_065,8.7,8.41,0.29
24,conf_066,-7.900000000000006,-8.593,0.69
25,conf_067,-81.1,-81.425,0.33
26,conf_068,83.3,83.428,0.13
27,conf_069,-82.8,-82.541,0.26
28,conf_070,-83.3,-82.386,0.91
29,conf_071,0.0,-2.894,2.89
30,conf_072,0.0,-2.388,2.39
31,conf_073,0.0,-1.803,1.8
32,conf_074,0.0,-11.017,11.02
33,conf_075,0.0,86.535,86.54
34,conf_081,18.1,19.381,1.28
35,conf_082,45.0,45.473,0.47
36,conf_083,-7.099999999999994,-8.082,0.98
37,conf_084,71.1,21.002,50.1
38,conf_085,44.6,44.189,0.41
39,conf_086,71.3,19.864,51.44
41,Average Absolute Error,-----,-----,7.558
42,Std dev,-----,-----,18.217
