,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-5.0,-6.463,1.46
5,conf_012,-41.0,-42.784,1.78
6,conf_013,-42.0,-43.891,1.89
7,conf_014,-43.0,-43.215,0.22
8,conf_017,-10.0,-10.502,0.5
10,conf_029,-12.0,-9.952,2.05
11,conf_030,-13.0,-10.196,2.8
12,conf_032,-10.0,-8.587,1.41
13,conf_037,18.0,-1.493,19.49
15,conf_041,-2.0,0.988,2.99
16,conf_053,-6.0,-7.317,1.32
17,conf_054,-4.0,-6.975,2.97
18,conf_060,-7.0,-5.741,1.26
19,conf_061,-7.0,-6.059,0.94
20,conf_062,-10.0,-8.045,1.96
21,conf_063,7.0,8.137,1.14
22,conf_064,8.0,8.494,0.49
23,conf_065,9.0,8.41,0.59
24,conf_066,-8.0,-8.593,0.59
25,conf_067,-81.0,-81.425,0.42
26,conf_068,84.0,83.428,0.57
27,conf_069,-83.0,-82.541,0.46
28,conf_070,-83.0,-82.386,0.61
29,conf_071,0.0,-2.894,2.89
30,conf_072,0.0,-2.388,2.39
31,conf_073,0.0,-1.803,1.8
32,conf_074,0.0,-11.017,11.02
33,conf_075,0.0,86.535,86.54
34,conf_081,19.0,19.381,0.38
35,conf_082,45.0,45.473,0.47
36,conf_083,-7.0,-8.082,1.08
37,conf_084,71.0,21.002,50.0
38,conf_085,45.0,44.189,0.81
39,conf_086,71.0,19.864,51.14
41,Average Absolute Error,-----,-----,7.542
42,Std dev,-----,-----,18.185
