,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,62.0,-6.463,68.46
5,conf_012,-41.19999999999999,-42.784,1.58
6,conf_013,-43.900000000000006,-43.891,0.01
7,conf_014,-42.30000000000001,-43.215,0.91
8,conf_017,-10.199999999999989,-10.502,0.3
10,conf_029,-62.6,-9.952,52.65
11,conf_030,-10.199999999999989,-10.196,0.0
12,conf_032,-9.0,-8.587,0.41
13,conf_037,-1.5999999999999943,-1.493,0.11
15,conf_041,-1.0999999999999943,0.988,2.09
16,conf_053,-6.900000000000006,-7.317,0.42
17,conf_054,-7.099999999999994,-6.975,0.12
18,conf_060,-5.199999999999989,-5.741,0.54
19,conf_061,-6.400000000000006,-6.059,0.34
20,conf_062,-9.599999999999994,-8.045,1.55
21,conf_063,7.6,8.137,0.54
22,conf_064,8.0,8.494,0.49
23,conf_065,8.1,8.41,0.31
24,conf_066,-7.900000000000006,-8.593,0.69
25,conf_067,-79.7,-81.425,1.72
26,conf_068,83.0,83.428,0.43
27,conf_069,-82.1,-82.541,0.44
28,conf_070,-82.5,-82.386,0.11
29,conf_071,-4.300000000000011,-2.894,1.41
30,conf_072,-1.5,-2.388,0.89
31,conf_073,0.2,-1.803,2.0
32,conf_074,-11.900000000000006,-11.017,0.88
33,conf_075,86.7,86.535,0.17
34,conf_081,18.1,19.381,1.28
35,conf_082,45.1,45.473,0.37
36,conf_083,-7.699999999999989,-8.082,0.38
37,conf_084,20.7,21.002,0.3
38,conf_085,44.4,44.189,0.21
39,conf_086,18.8,19.864,1.06
41,Average Absolute Error,-----,-----,4.211
42,Std dev,-----,-----,14.227
