,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-73.0,-6.463,66.54
5,conf_012,-41.0,-42.784,1.78
6,conf_013,-44.0,-43.891,0.11
7,conf_014,-42.0,-43.215,1.22
8,conf_017,-10.0,-10.502,0.5
10,conf_029,-13.0,-9.952,3.05
11,conf_030,-9.0,-10.196,1.2
12,conf_032,58.0,-8.587,66.59
13,conf_037,-2.0,-1.493,0.51
15,conf_041,-1.0,0.988,1.99
16,conf_053,-6.0,-7.317,1.32
17,conf_054,-7.0,-6.975,0.03
18,conf_060,-8.0,-5.741,2.26
19,conf_061,-6.0,-6.059,0.06
20,conf_062,-8.0,-8.045,0.04
21,conf_063,8.0,8.137,0.14
22,conf_064,8.0,8.494,0.49
23,conf_065,8.0,8.41,0.41
24,conf_066,-8.0,-8.593,0.59
25,conf_067,-80.0,-81.425,1.42
26,conf_068,83.0,83.428,0.43
27,conf_069,-81.0,-82.541,1.54
28,conf_070,-83.0,-82.386,0.61
29,conf_071,-1.0,-2.894,1.89
30,conf_072,-3.0,-2.388,0.61
31,conf_073,-2.0,-1.803,0.2
32,conf_074,-15.0,-11.017,3.98
33,conf_075,88.0,86.535,1.47
34,conf_081,18.0,19.381,1.38
35,conf_082,45.0,45.473,0.47
36,conf_083,-7.0,-8.082,1.08
37,conf_084,20.0,21.002,1.0
38,conf_085,44.0,44.189,0.19
39,conf_086,18.0,19.864,1.86
41,Average Absolute Error,-----,-----,4.911
42,Std dev,-----,-----,15.439
