,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-5.800000000000011,-6.463,0.66
5,conf_012,-40.80000000000001,-42.784,1.98
6,conf_013,-43.30000000000001,-43.891,0.59
7,conf_014,-42.69999999999999,-43.215,0.52
8,conf_017,-10.0,-10.502,0.5
10,conf_029,-13.099999999999994,-9.952,3.15
11,conf_030,-9.199999999999989,-10.196,1.0
12,conf_032,-9.800000000000011,-8.587,1.21
13,conf_037,-2.5,-1.493,1.01
15,conf_041,-1.0999999999999943,0.988,2.09
16,conf_053,-7.800000000000011,-7.317,0.48
17,conf_054,-7.800000000000011,-6.975,0.83
18,conf_060,-7.099999999999994,-5.741,1.36
19,conf_061,-6.900000000000006,-6.059,0.84
20,conf_062,-8.900000000000006,-8.045,0.86
21,conf_063,7.9,8.137,0.24
22,conf_064,8.0,8.494,0.49
23,conf_065,8.2,8.41,0.21
24,conf_066,-7.599999999999994,-8.593,0.99
25,conf_067,-80.9,-81.425,0.52
26,conf_068,83.9,83.428,0.47
27,conf_069,-82.0,-82.541,0.54
28,conf_070,-82.4,-82.386,0.01
29,conf_071,-7.400000000000006,-2.894,4.51
30,conf_072,-1.9000000000000057,-2.388,0.49
31,conf_073,0.1,-1.803,1.9
32,conf_074,-13.699999999999989,-11.017,2.68
33,conf_075,86.8,86.535,0.27
34,conf_081,18.4,19.381,0.98
35,conf_082,45.1,45.473,0.37
36,conf_083,-7.800000000000011,-8.082,0.28
37,conf_084,20.1,21.002,0.9
38,conf_085,44.8,44.189,0.61
39,conf_086,18.4,19.864,1.46
41,Average Absolute Error,-----,-----,1.029
42,Std dev,-----,-----,0.927
