,Figure,Angle_algorithm,Angle_Specialist,ABS ERROR
1,conf_004,-6.7,-6.463,0.24
5,conf_012,-43.2,-42.784,0.42
6,conf_013,-42.9,-43.891,0.99
7,conf_014,-42.8,-43.215,0.42
8,conf_017,-10.9,-10.502,0.4
10,conf_029,-10.1,-9.952,0.15
11,conf_030,-10.0,-10.196,0.2
12,conf_032,-7.3,-8.587,1.29
13,conf_037,-2.0,-1.493,0.51
15,conf_041,-0.0,0.988,0.99
16,conf_053,-7.1,-7.317,0.22
17,conf_054,-7.2,-6.975,0.23
18,conf_060,-5.9,-5.741,0.16
19,conf_061,-6.2,-6.059,0.14
20,conf_062,-9.0,-8.045,0.96
21,conf_063,7.5,8.137,0.64
22,conf_064,8.099999999999994,8.494,0.39
23,conf_065,7.900000000000006,8.41,0.51
24,conf_066,-7.9,-8.593,0.69
25,conf_067,-81.3,-81.425,0.12
26,conf_068,83.2,83.428,0.23
27,conf_069,-83.1,-82.541,0.56
28,conf_070,-83.0,-82.386,0.61
29,conf_071,-3.6,-2.894,0.71
30,conf_072,-0.0,-2.388,2.39
31,conf_073,-1.2,-1.803,0.6
32,conf_074,-12.3,-11.017,1.28
33,conf_075,85.6,86.535,0.94
34,conf_081,18.5,19.381,0.88
35,conf_082,44.80000000000001,45.473,0.67
36,conf_083,-8.3,-8.082,0.22
37,conf_084,20.40000000000001,21.002,0.6
38,conf_085,43.6,44.189,0.59
39,conf_086,19.099999999999994,19.864,0.76
41,Average Absolute Error,-----,-----,0.609
42,Std dev,-----,-----,0.443
